Date of Week End,Candidate,Platform,Spend
5/18/2019,John Hickenlooper,Facebook,8224
5/18/2019,Cory Booker,Facebook,7929
5/18/2019,Seth Moulton,Facebook,7793
5/18/2019,Bill de Blasio,Google,6300
5/18/2019,Joe Biden,Google,6300
5/18/2019,Marianne Williamson,Facebook,5232
5/18/2019,Eric Swalwell,Google,5100
5/18/2019,Cory Booker,Google,4800
5/18/2019,Tim Ryan,Google,4400
5/18/2019,Bernie Sanders,Facebook,3745
5/18/2019,John Hickenlooper,Google,3700
5/18/2019,Tulsi Gabbard,Facebook,3500
5/18/2019,Mike Gravel,Google,3100
5/18/2019,Eric Swalwell,Facebook,2099
5/18/2019,Bernie Sanders,Google,2000
5/18/2019,Tim Ryan,Facebook,1836
5/18/2019,Bill de Blasio,Facebook,1731
5/18/2019,Amy Klobuchar,Google,1600
5/18/2019,Julián Castro,Google,1400
5/18/2019,Andrew Yang,Google,1300
5/18/2019,Marianne Williamson,Google,1100
5/18/2019,Kirsten Gillibrand,Google,700
5/18/2019,John Delaney,Google,600
5/18/2019,Mike Gravel,Facebook,222
